SiteID,DepthTop,DepthBot,Week,Rain,Longitude,Latitude,Easting,Northing,DEM,Slope,TWI,Total,K,T,U,Solar,NDVI_05,NDVI_50,NDVI_95,Rain_df_50,Rain_df_70,Rain_df_90,Rain_df_95,Rain_df_99,Rain_df_999,Day,ET20m,ET20m_df_50,ET20m_df_70,ET20m_df_90,ET20m_df_95,ET20m_df_99,ET20m_df_999,SM,Bucket,CLY,SLT,SND,SOC,Date
1,15,30,47,3.65,148.6896,-34.469,655176.3072,6184545.0997,521.0,1.9257,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996,1.825,1.095,0.378,0.22635,0.1327,0.11585,334,0.3156,0.35655000000000003,0.3699,0.39015,0.3933,0.393,0.39254999999999995,41.696349999999995,17.6118,14.6579,17.2316,68.126,0.5517,2019-12-01
1,15,30,48,0.14285714285714285,148.6896,-34.469,655176.3072,6184545.099699999,521.0,1.9257000000000002,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996000000000001,0.6642857142857144,0.8728571428571429,1.0826142857142858,1.1617428571428572,1.3369142857142857,1.3841285714285714,336,0.36274285714285714,0.40364285714285714,0.4122142857142857,0.43957142857142856,0.44717142857142855,0.45068571428571425,0.45084285714285716,41.30777142857143,17.6118,14.6579,17.2316,68.126,0.5517,2019-12-03
1,15,30,49,0.0,148.6896,-34.469,655176.3072,6184545.099699999,521.0,1.9257000000000002,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996000000000001,0.0,0.0,0.0,0.0,0.0,0.0,343,0.4156571428571429,0.47521428571428576,0.5062714285714286,0.5806571428571429,0.6103857142857143,0.6212,0.6195,40.253885714285715,17.6118,14.6579,17.2316,68.126,0.5517,2019-12-10
1,15,30,50,0.0,148.6896,-34.469,655176.3072,6184545.099699999,521.0,1.9257000000000002,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996000000000001,0.0,0.0,0.0,0.0,0.0,0.0,350,0.28677142857142857,0.3087857142857143,0.3312857142857143,0.3856571428571428,0.4109285714285714,0.44754285714285713,0.4575142857142857,39.651357142857144,17.6118,14.6579,17.2316,68.126,0.5517,2019-12-17
1,15,30,51,0.0,148.6896,-34.469,655176.3072,6184545.099699999,521.0,1.9257000000000002,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996000000000001,0.0,0.0,0.0,0.0,0.0,0.0,357,0.47332857142857143,0.4750571428571429,0.4796857142857143,0.47964285714285715,0.4678285714285714,0.4267142857142857,0.4127,39.20908571428571,17.6118,14.6579,17.2316,68.126,0.5517,2019-12-24
1,15,30,52,0.09999999999999999,148.6896,-34.469,655176.3072,6184545.099699999,521.0,1.9257000000000002,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996000000000001,0.049999999999999996,0.03,0.01,0.005028571428571429,0.0015714285714285713,0.0010571428571428572,364,0.6457571428571428,0.6285428571428572,0.6282714285714286,0.6146,0.6075999999999999,0.6063571428571429,0.6080285714285714,38.76195714285715,17.6118,14.6579,17.2316,68.126,0.5517,2019-12-31
1,15,30,53,0.3,148.6896,-34.469,655176.3072,6184545.099699999,521.0,1.9257000000000002,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996000000000001,0.36521428571428566,0.3921571428571428,0.41727142857142857,0.4220571428571428,0.42479999999999996,0.42525714285714283,371,0.6033999999999999,0.6149285714285714,0.6224571428571428,0.6161142857142857,0.6204285714285714,0.6354857142857143,0.6401142857142857,38.1887,17.6118,14.6579,17.2316,68.126,0.5517,2020-01-07
1,15,30,54,3.685714285714286,148.6896,-34.469,655176.3072,6184545.099699999,521.0,1.9257000000000002,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996000000000001,2.6481285714285714,2.231385714285714,1.8182999999999996,1.7161857142857144,1.6107571428571428,1.5767714285714285,378,0.36019999999999996,0.38920000000000005,0.3912857142857143,0.38934285714285716,0.39084285714285716,0.40330000000000005,0.40838571428571424,37.547557142857144,17.6118,14.6579,17.2316,68.126,0.5517,2020-01-14
1,15,30,55,0.5857142857142856,148.6896,-34.469,655176.3072,6184545.099699999,521.0,1.9257000000000002,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996000000000001,1.6004714285714285,2.0067857142857144,2.4122142857142856,2.5135,2.602642857142857,2.625771428571429,385,0.28772857142857144,0.3143714285714286,0.32439999999999997,0.33781428571428573,0.34771428571428575,0.3684285714285714,0.3748142857142857,37.05034285714286,17.6118,14.6579,17.2316,68.126,0.5517,2020-01-21
1,15,30,56,0.0,148.6896,-34.469,655176.3072,6184545.099699999,521.0,1.9257000000000002,8.6535,62.9592,1.288,14.8737,1.5894,-1.6279,0.1467,0.2366,0.8996000000000001,0.0,0.0,1.4285714285714287e-05,0.0011,0.01845714285714286,0.029428571428571425,392,0.4878142857142857,0.4811714285714285,0.47308571428571433,0.4645,0.45217142857142856,0.4118428571428571,0.39801428571428576,36.251914285714285,17.6118,14.6579,17.2316,68.126,0.5517,2020-01-28
